time,equity
2025-06-02 13:15:00,12278.31
2025-06-03 14:15:00,12279.72
2025-06-04 15:15:00,12298.97
2025-06-05 16:15:00,12308.71
2025-06-06 17:15:00,12308.65
2025-06-07 18:15:00,12328.87
2025-06-08 19:15:00,12343.21
2025-06-09 20:15:00,12344.39
2025-06-10 21:15:00,12354.42
2025-06-11 22:15:00,12351.45
2025-06-12 23:15:00,12357.83
2025-06-14 00:15:00,12356.96
2025-06-15 01:15:00,12351.86
2025-06-16 02:15:00,12345.45
2025-06-17 03:15:00,12384.94
2025-06-18 04:15:00,12404.49
2025-06-19 05:15:00,12411.96
2025-06-20 06:15:00,12391.47
2025-06-21 07:15:00,12404.55
2025-06-22 08:15:00,12418.03
2025-06-23 09:15:00,12433.02
2025-06-24 10:15:00,12458.99
2025-06-25 11:15:00,12479.20
2025-06-26 12:15:00,12480.90
2025-06-27 13:15:00,12443.19
2025-06-28 14:15:00,12437.47
2025-06-29 15:15:00,12439.91
2025-06-30 16:15:00,12411.28
2025-07-01 17:15:00,12423.93
2025-07-02 18:15:00,12430.82
2025-07-03 19:15:00,12448.89
2025-07-04 20:15:00,12440.54
2025-07-05 21:15:00,12451.05
2025-07-06 22:15:00,12456.78
2025-07-07 23:15:00,12453.94
2025-07-09 00:15:00,12441.52
2025-07-10 01:15:00,12436.61
2025-07-11 02:15:00,12485.70
2025-07-12 03:15:00,12511.77
2025-07-13 04:15:00,12542.07
2025-07-14 05:15:00,12568.01
2025-07-15 06:15:00,12578.47
2025-07-16 07:15:00,12575.03
2025-07-17 08:15:00,12601.78
2025-07-18 09:15:00,12641.36
2025-07-19 10:15:00,12628.22
2025-07-20 11:15:00,12629.89
2025-07-21 12:15:00,12630.89
2025-07-22 13:15:00,12624.58
2025-07-23 14:15:00,12646.49
2025-07-24 15:15:00,12638.15
2025-07-25 16:15:00,12636.85
2025-07-26 17:15:00,12658.93
2025-07-27 18:15:00,12646.86
2025-07-28 19:15:00,12630.31
2025-07-29 20:15:00,12625.25
2025-07-30 21:15:00,12597.95
2025-07-31 22:15:00,12610.93
2025-08-01 23:15:00,12616.52
2025-08-03 00:15:00,12625.09
2025-08-04 01:15:00,12651.20
2025-08-05 02:15:00,12650.87
2025-08-06 03:15:00,12653.18
2025-08-07 04:15:00,12642.65
2025-08-08 05:15:00,12630.70
2025-08-09 06:15:00,12627.60
2025-08-10 07:15:00,12637.50
2025-08-11 08:15:00,12635.67
2025-08-12 09:15:00,12633.02
2025-08-13 10:15:00,12621.41
2025-08-14 11:15:00,12644.18
2025-08-15 12:15:00,12642.82
2025-08-16 13:15:00,12624.62
2025-08-17 14:15:00,12622.23
2025-08-18 15:15:00,12608.83
2025-08-19 16:15:00,12587.20
2025-08-20 17:15:00,12571.75
2025-08-21 18:15:00,12561.46
2025-08-22 19:15:00,12574.10
2025-08-23 20:15:00,12575.31
2025-08-24 21:15:00,12582.77
2025-08-25 22:15:00,12595.00
2025-08-26 23:15:00,12626.14
2025-08-28 00:15:00,12611.26
2025-08-29 01:15:00,12587.85
2025-08-30 02:15:00,12597.52
2025-08-31 03:15:00,12601.03
2025-09-01 04:15:00,12595.68
2025-09-02 05:15:00,12569.48
2025-09-03 06:15:00,12557.93
2025-09-04 07:15:00,12538.91
2025-09-05 08:15:00,12543.78
2025-09-06 09:15:00,12536.38
2025-09-07 10:15:00,12532.44
2025-09-08 11:15:00,12534.48
2025-09-09 12:15:00,12542.54
2025-09-10 13:15:00,12557.11
2025-09-11 14:15:00,12542.95
2025-09-12 15:15:00,12552.89
2025-09-13 16:15:00,12551.18
2025-09-14 17:15:00,12563.59
2025-09-15 18:15:00,12565.48
2025-09-16 19:15:00,12558.53
2025-09-17 20:15:00,12548.51
2025-09-18 21:15:00,12543.21
2025-09-19 22:15:00,12557.23
2025-09-20 23:15:00,12561.24
2025-09-22 00:15:00,12573.13
2025-09-23 01:15:00,12580.47
2025-09-24 02:15:00,12559.55
2025-09-25 03:15:00,12575.06
2025-09-26 04:15:00,12577.61
2025-09-27 05:15:00,12571.42
2025-09-28 06:15:00,12572.10
2025-09-29 07:15:00,12572.00
2025-09-30 08:15:00,12584.31
2025-10-01 09:15:00,12614.80
2025-10-02 10:15:00,12634.37
2025-10-03 11:15:00,12646.01
2025-10-04 12:15:00,12658.83
2025-10-05 13:15:00,12682.33
2025-10-06 14:15:00,12711.91
2025-10-07 15:15:00,12721.77
2025-10-08 16:15:00,12703.93
2025-10-09 17:15:00,12725.33
2025-10-10 18:15:00,12737.68
2025-10-11 19:15:00,12751.60
2025-10-12 20:15:00,12750.59
2025-10-13 21:15:00,12746.64
2025-10-14 22:15:00,12714.55
2025-10-15 23:15:00,12725.94
2025-10-17 00:15:00,12693.19
2025-10-18 01:15:00,12724.95
