id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
86,BTC-USDT,short,2024-11-24 08:00:00,98436.10,2024-11-24 09:15:00,97876.69,5.84,0.57,tp_hit,evening_star
87,BTC-USDT,short,2024-11-24 11:00:00,97527.00,2024-11-24 12:30:00,96889.31,6.72,0.65,tp_hit,three_black_crows
88,BTC-USDT,short,2024-11-24 17:00:00,95970.90,2024-11-24 20:45:00,96881.41,-9.75,-0.95,sl_hit,engulfing
89,BTC-USDT,short,2024-11-25 02:00:00,97472.20,2024-11-25 05:30:00,98236.21,-8.05,-0.78,sl_hit,shooting_star
90,BTC-USDT,long,2024-11-25 08:00:00,98235.60,2024-11-25 13:00:00,97742.16,-5.15,-0.50,sl_hit,engulfing
91,BTC-USDT,short,2024-11-25 14:00:00,97615.70,2024-11-25 14:30:00,96770.62,8.88,0.87,tp_hit,three_black_crows
92,BTC-USDT,short,2024-11-25 17:00:00,95128.10,2024-11-25 22:30:00,93080.39,22.10,2.15,tp_hit,evening_star
94,BTC-USDT,long,2024-11-26 05:00:00,94397.40,2024-11-26 07:15:00,93771.50,-6.82,-0.66,sl_hit,morning_star
93,BTC-USDT,short,2024-11-25 23:00:00,94306.80,2024-11-26 10:45:00,92335.71,21.50,2.09,tp_hit,engulfing
95,BTC-USDT,short,2024-11-26 08:00:00,93250.00,2024-11-26 11:00:00,92175.85,11.84,1.15,tp_hit,three_black_crows
96,BTC-USDT,short,2024-11-26 20:00:00,91661.40,2024-11-27 01:45:00,92741.34,-12.15,-1.18,sl_hit,three_black_crows
98,BTC-USDT,long,2024-11-27 05:00:00,92521.10,2024-11-27 07:15:00,93513.20,11.05,1.07,tp_hit,morning_star
97,BTC-USDT,long,2024-11-26 23:00:00,92040.70,2024-11-27 10:30:00,93684.42,18.42,1.79,tp_hit,three_white_soldiers
99,BTC-USDT,long,2024-11-27 14:00:00,94389.00,2024-11-27 15:30:00,95395.69,11.02,1.07,tp_hit,three_white_soldiers
100,BTC-USDT,long,2024-11-27 17:00:00,95629.80,2024-11-27 20:15:00,97156.05,16.51,1.60,tp_hit,three_white_soldiers
101,BTC-USDT,long,2024-11-27 20:00:00,96923.40,2024-11-27 21:45:00,96118.43,-8.59,-0.83,sl_hit,harami
102,BTC-USDT,short,2024-11-27 23:00:00,95859.30,2024-11-28 00:45:00,96545.73,-7.41,-0.72,sl_hit,three_black_crows
103,BTC-USDT,long,2024-11-28 11:00:00,94969.90,2024-11-28 14:00:00,95847.66,9.56,0.92,tp_hit,morning_star
104,BTC-USDT,short,2024-11-28 14:00:00,95955.90,2024-11-28 20:30:00,94783.63,12.65,1.22,tp_hit,engulfing|evening_star
105,BTC-USDT,short,2024-11-28 17:00:00,95102.20,2024-11-28 23:15:00,95874.59,-8.41,-0.81,sl_hit,three_black_crows
107,BTC-USDT,long,2024-11-29 08:00:00,95808.00,2024-11-29 10:00:00,96552.30,8.05,0.78,tp_hit,harami
106,BTC-USDT,short,2024-11-29 05:00:00,96348.80,2024-11-29 11:15:00,96859.26,-5.49,-0.53,sl_hit,shooting_star|three_black_crows
108,BTC-USDT,long,2024-11-29 11:00:00,96643.90,2024-11-29 11:45:00,97329.23,7.35,0.71,tp_hit,three_white_soldiers
109,BTC-USDT,long,2024-11-29 23:00:00,97258.40,2024-11-30 01:00:00,96874.01,-4.10,-0.40,sl_hit,engulfing
110,BTC-USDT,long,2024-11-30 02:00:00,96601.30,2024-11-30 06:00:00,97244.09,6.90,0.67,tp_hit,harami
111,BTC-USDT,long,2024-11-30 05:00:00,96800.90,2024-11-30 10:30:00,96459.83,-3.65,-0.35,sl_hit,three_white_soldiers
112,BTC-USDT,long,2024-11-30 17:00:00,96852.00,2024-11-30 22:45:00,96481.94,-3.96,-0.38,sl_hit,harami
113,BTC-USDT,short,2024-11-30 23:00:00,96476.60,2024-12-01 01:45:00,96106.10,3.98,0.38,tp_hit,three_black_crows
114,BTC-USDT,short,2024-12-01 02:00:00,96164.00,2024-12-01 08:00:00,96649.53,-5.23,-0.50,sl_hit,three_black_crows
115,BTC-USDT,short,2024-12-01 05:00:00,96443.20,2024-12-01 08:15:00,96947.59,-5.42,-0.52,sl_hit,engulfing
116,BTC-USDT,long,2024-12-01 08:00:00,96753.50,2024-12-01 08:15:00,97168.76,4.45,0.43,tp_hit,three_white_soldiers
117,BTC-USDT,long,2024-12-01 11:00:00,96997.50,2024-12-01 21:45:00,97634.23,6.80,0.66,tp_hit,engulfing
118,BTC-USDT,long,2024-12-01 17:00:00,97145.50,2024-12-01 21:45:00,97741.90,6.36,0.61,tp_hit,hammer
119,BTC-USDT,short,2024-12-02 08:00:00,95967.20,2024-12-02 08:15:00,95251.31,7.74,0.75,tp_hit,three_black_crows
